Bus Voltage,Power,Current
4.94 V,288.00 mW,63.10 mA
4.94 V,312.00 mW,63.20 mA
4.94 V,312.00 mW,65.10 mA
4.95 V,308.00 mW,62.60 mA
4.94 V,348.00 mW,69.50 mA
4.94 V,344.00 mW,69.70 mA
4.92 V,420.00 mW,83.30 mA
4.81 V,708.00 mW,146.80 mA
4.81 V,708.00 mW,147.60 mA
4.81 V,708.00 mW,146.70 mA
4.94 V,318.00 mW,63.20 mA
4.94 V,312.00 mW,70.90 mA
4.93 V,344.00 mW,69.90 mA
4.94 V,348.00 mW,69.80 mA
4.81 V,712.00 mW,147.70 mA
4.81 V,708.00 mW,148.00 mA
4.81 V,708.00 mW,147.20 mA
4.94 V,312.00 mW,62.90 mA
4.95 V,312.00 mW,63.30 mA
4.93 V,340.00 mW,69.40 mA
4.93 V,344.00 mW,69.40 mA
4.84 V,436.00 mW,133.80 mA
4.81 V,708.00 mW,147.40 mA
4.80 V,708.00 mW,147.50 mA
4.85 V,616.00 mW,63.30 mA
4.94 V,312.00 mW,63.30 mA
4.93 V,334.00 mW,69.80 mA
4.93 V,348.00 mW,67.20 mA
4.93 V,340.00 mW,66.90 mA
4.80 V,712.00 mW,147.40 mA
4.81 V,708.00 mW,147.10 mA
4.81 V,708.00 mW,147.10 mA
4.94 V,312.00 mW,62.90 mA
4.94 V,312.00 mW,62.50 mA
4.93 V,338.00 mW,69.60 mA
4.94 V,328.00 mW,67.80 mA
4.81 V,704.00 mW,147.10 mA
4.81 V,708.00 mW,147.10 mA
4.81 V,708.00 mW,147.20 mA
4.95 V,314.00 mW,63.00 mA
4.94 V,308.00 mW,63.50 mA
4.94 V,348.00 mW,69.20 mA
4.93 V,338.00 mW,70.30 mA
4.91 V,410.00 mW,84.00 mA
4.81 V,712.00 mW,147.20 mA
4.80 V,712.00 mW,147.50 mA
4.81 V,712.00 mW,147.60 mA
4.94 V,312.00 mW,62.00 mA
4.94 V,308.00 mW,66.40 mA
4.94 V,348.00 mW,68.50 mA
4.94 V,344.00 mW,70.30 mA
4.81 V,708.00 mW,147.00 mA
4.81 V,708.00 mW,147.00 mA
4.80 V,714.00 mW,147.80 mA
4.94 V,312.00 mW,63.10 mA
4.94 V,312.00 mW,62.80 mA
4.92 V,340.00 mW,70.30 mA
4.94 V,344.00 mW,70.20 mA
4.83 V,566.00 mW,141.70 mA
4.81 V,712.00 mW,147.40 mA
4.81 V,712.00 mW,147.90 mA
4.86 V,656.00 mW,63.10 mA
4.94 V,312.00 mW,63.30 mA
4.93 V,344.00 mW,69.90 mA
4.94 V,360.00 mW,68.30 mA
4.93 V,340.00 mW,66.50 mA
4.81 V,708.00 mW,147.40 mA
4.81 V,712.00 mW,147.30 mA
4.81 V,704.00 mW,147.10 mA
4.94 V,312.00 mW,62.40 mA
4.94 V,314.00 mW,62.90 mA
4.94 V,344.00 mW,69.90 mA
4.94 V,330.00 mW,68.80 mA
4.82 V,712.00 mW,147.10 mA
4.81 V,712.00 mW,147.80 mA
4.81 V,708.00 mW,147.30 mA
4.94 V,312.00 mW,63.40 mA
4.94 V,312.00 mW,63.00 mA
4.94 V,344.00 mW,68.90 mA
4.93 V,340.00 mW,70.00 mA
4.91 V,420.00 mW,83.30 mA
4.81 V,708.00 mW,147.40 mA
4.81 V,708.00 mW,146.60 mA
4.81 V,704.00 mW,147.60 mA
4.95 V,312.00 mW,63.00 mA
4.94 V,312.00 mW,69.40 mA
4.94 V,340.00 mW,67.00 mA
4.94 V,348.00 mW,69.70 mA
4.81 V,708.00 mW,147.40 mA
4.81 V,712.00 mW,147.40 mA
4.81 V,708.00 mW,147.40 mA
4.95 V,314.00 mW,63.10 mA
4.94 V,308.00 mW,65.40 mA
4.93 V,330.00 mW,69.20 mA
4.93 V,344.00 mW,69.90 mA
4.82 V,580.00 mW,144.60 mA
4.81 V,708.00 mW,146.70 mA
4.81 V,704.00 mW,147.10 mA
4.94 V,612.00 mW,63.20 mA
4.94 V,312.00 mW,63.20 mA
4.93 V,348.00 mW,69.90 mA
4.94 V,338.00 mW,70.20 mA
4.93 V,344.00 mW,68.40 mA
4.81 V,712.00 mW,147.20 mA
4.81 V,708.00 mW,147.70 mA
4.81 V,712.00 mW,147.00 mA
4.94 V,308.00 mW,62.80 mA
4.94 V,308.00 mW,62.60 mA
4.93 V,348.00 mW,69.90 mA
4.94 V,340.00 mW,70.10 mA
4.81 V,708.00 mW,146.90 mA
4.81 V,708.00 mW,147.40 mA
4.81 V,712.00 mW,148.00 mA
4.94 V,312.00 mW,63.00 mA
4.95 V,312.00 mW,62.70 mA
4.94 V,348.00 mW,69.80 mA
4.94 V,344.00 mW,69.60 mA
4.91 V,410.00 mW,83.60 mA
4.81 V,708.00 mW,147.10 mA
4.80 V,712.00 mW,147.60 mA
4.81 V,712.00 mW,147.20 mA
4.95 V,312.00 mW,63.10 mA
4.94 V,338.00 mW,67.90 mA
4.94 V,330.00 mW,66.50 mA
4.94 V,344.00 mW,67.40 mA
4.81 V,708.00 mW,147.30 mA
4.81 V,708.00 mW,147.30 mA
4.81 V,708.00 mW,147.80 mA
4.95 V,312.00 mW,62.70 mA
4.94 V,314.00 mW,62.90 mA
4.93 V,334.00 mW,67.20 mA
4.93 V,330.00 mW,69.60 mA
4.82 V,612.00 mW,146.40 mA
4.82 V,712.00 mW,147.60 mA
4.81 V,708.00 mW,147.30 mA
4.94 V,580.00 mW,63.30 mA
4.94 V,312.00 mW,64.60 mA
4.93 V,330.00 mW,70.20 mA
4.94 V,348.00 mW,69.80 mA
4.94 V,348.00 mW,69.80 mA
4.81 V,704.00 mW,147.20 mA
4.81 V,708.00 mW,147.10 mA
4.81 V,708.00 mW,147.70 mA
4.94 V,312.00 mW,62.60 mA
4.94 V,312.00 mW,63.10 mA
4.94 V,344.00 mW,69.70 mA
4.93 V,344.00 mW,69.60 mA
4.80 V,712.00 mW,147.70 mA
4.81 V,708.00 mW,147.10 mA
4.81 V,704.00 mW,147.00 mA
4.95 V,312.00 mW,62.30 mA
4.94 V,312.00 mW,62.70 mA
4.94 V,344.00 mW,69.80 mA
4.94 V,344.00 mW,70.20 mA
4.91 V,410.00 mW,83.70 mA
4.81 V,708.00 mW,147.20 mA
4.81 V,708.00 mW,147.30 mA
4.81 V,712.00 mW,147.30 mA
4.94 V,312.00 mW,63.00 mA
4.94 V,328.00 mW,67.00 mA
4.94 V,328.00 mW,68.20 mA
4.94 V,334.00 mW,66.40 mA
4.82 V,708.00 mW,146.80 mA
4.81 V,708.00 mW,146.20 mA
4.82 V,708.00 mW,146.70 mA
4.94 V,312.00 mW,62.60 mA
4.94 V,308.00 mW,62.10 mA
4.94 V,334.00 mW,66.00 mA
4.93 V,328.00 mW,68.00 mA
4.81 V,656.00 mW,146.60 mA
4.81 V,704.00 mW,146.30 mA
4.81 V,708.00 mW,146.80 mA
4.94 V,522.00 mW,62.60 mA
4.95 V,312.00 mW,62.00 mA
4.94 V,330.00 mW,69.50 mA
4.93 V,334.00 mW,69.60 mA
4.93 V,328.00 mW,69.80 mA
4.81 V,704.00 mW,146.90 mA
4.81 V,708.00 mW,146.40 mA
4.81 V,704.00 mW,146.50 mA
4.95 V,308.00 mW,61.90 mA
4.94 V,308.00 mW,62.10 mA
4.94 V,344.00 mW,69.30 mA
4.94 V,344.00 mW,68.90 mA
4.81 V,704.00 mW,146.50 mA
4.81 V,704.00 mW,147.70 mA
4.81 V,712.00 mW,147.20 mA
4.94 V,308.00 mW,62.10 mA
4.95 V,308.00 mW,62.30 mA
4.93 V,344.00 mW,69.70 mA
4.93 V,340.00 mW,69.20 mA
4.91 V,410.00 mW,83.10 mA
4.81 V,708.00 mW,147.00 mA
4.81 V,708.00 mW,146.80 mA
4.81 V,704.00 mW,148.20 mA
4.95 V,308.00 mW,62.50 mA
4.94 V,328.00 mW,67.10 mA
4.93 V,334.00 mW,69.20 mA
4.93 V,324.00 mW,66.70 mA
4.81 V,708.00 mW,146.90 mA
4.81 V,704.00 mW,147.20 mA
4.81 V,708.00 mW,147.00 mA
4.95 V,308.00 mW,62.70 mA
4.94 V,308.00 mW,62.80 mA
4.94 V,340.00 mW,67.40 mA
4.94 V,334.00 mW,66.00 mA
4.80 V,688.00 mW,146.80 mA
4.81 V,708.00 mW,146.80 mA
4.81 V,704.00 mW,146.00 mA
4.94 V,308.00 mW,62.60 mA
4.94 V,308.00 mW,64.80 mA
4.94 V,340.00 mW,69.00 mA
4.94 V,324.00 mW,67.30 mA
4.94 V,340.00 mW,70.90 mA
4.80 V,702.00 mW,147.00 mA
4.81 V,708.00 mW,146.90 mA
4.81 V,712.00 mW,147.20 mA
4.94 V,312.00 mW,63.20 mA
4.94 V,308.00 mW,62.40 mA
4.94 V,334.00 mW,69.40 mA
4.94 V,350.00 mW,69.90 mA
4.81 V,704.00 mW,147.10 mA
4.81 V,708.00 mW,146.30 mA
4.81 V,704.00 mW,147.00 mA
4.94 V,308.00 mW,63.20 mA
4.95 V,308.00 mW,62.00 mA
4.93 V,340.00 mW,67.70 mA
4.94 V,344.00 mW,69.40 mA
4.91 V,410.00 mW,82.80 mA
4.81 V,708.00 mW,146.90 mA
4.81 V,708.00 mW,146.80 mA
4.81 V,708.00 mW,147.40 mA
4.95 V,308.00 mW,62.20 mA
4.94 V,328.00 mW,68.70 mA
4.93 V,340.00 mW,70.10 mA
4.93 V,328.00 mW,68.40 mA
4.81 V,708.00 mW,146.50 mA
4.81 V,704.00 mW,146.20 mA
4.81 V,704.00 mW,146.90 mA
4.94 V,308.00 mW,62.20 mA
4.94 V,318.00 mW,62.60 mA
4.94 V,344.00 mW,68.80 mA
4.94 V,344.00 mW,66.50 mA
4.81 V,694.00 mW,146.70 mA
4.81 V,712.00 mW,146.90 mA
4.82 V,708.00 mW,147.30 mA
4.94 V,312.00 mW,62.70 mA
4.94 V,312.00 mW,62.80 mA
4.94 V,344.00 mW,70.20 mA
4.94 V,330.00 mW,68.80 mA
4.93 V,344.00 mW,67.20 mA
4.81 V,712.00 mW,146.70 mA
4.81 V,704.00 mW,147.10 mA
4.81 V,708.00 mW,146.80 mA
4.94 V,308.00 mW,64.40 mA
4.94 V,312.00 mW,63.10 mA
4.94 V,338.00 mW,68.70 mA
4.94 V,340.00 mW,70.10 mA
4.81 V,704.00 mW,147.00 mA
4.81 V,708.00 mW,147.70 mA
4.81 V,708.00 mW,147.30 mA
4.94 V,312.00 mW,62.50 mA
4.94 V,312.00 mW,62.60 mA
4.93 V,338.00 mW,66.90 mA
4.93 V,340.00 mW,69.40 mA
4.91 V,412.00 mW,85.90 mA
4.81 V,708.00 mW,146.90 mA
4.81 V,708.00 mW,146.80 mA
4.81 V,708.00 mW,148.90 mA
4.94 V,312.00 mW,62.80 mA
4.94 V,324.00 mW,69.80 mA
4.93 V,334.00 mW,69.70 mA
4.93 V,334.00 mW,70.00 mA
4.82 V,708.00 mW,147.80 mA
4.80 V,708.00 mW,147.20 mA
4.81 V,708.00 mW,147.20 mA
4.94 V,312.00 mW,62.70 mA
4.95 V,312.00 mW,62.40 mA
4.93 V,344.00 mW,69.90 mA
4.94 V,350.00 mW,68.30 mA
4.81 V,704.00 mW,146.80 mA
4.81 V,704.00 mW,146.70 mA
4.81 V,708.00 mW,146.60 mA
4.94 V,314.00 mW,62.90 mA
4.94 V,308.00 mW,62.50 mA
4.93 V,344.00 mW,69.60 mA
4.94 V,340.00 mW,69.60 mA
4.94 V,340.00 mW,74.40 mA
4.81 V,708.00 mW,147.20 mA
4.81 V,712.00 mW,146.70 mA
4.81 V,708.00 mW,147.30 mA
4.95 V,308.00 mW,62.60 mA
4.94 V,312.00 mW,63.70 mA
4.94 V,328.00 mW,67.70 mA
4.93 V,330.00 mW,69.60 mA
4.81 V,708.00 mW,146.80 mA
4.81 V,708.00 mW,147.00 mA
4.81 V,708.00 mW,147.10 mA
4.94 V,308.00 mW,62.30 mA
4.95 V,308.00 mW,62.30 mA
4.94 V,334.00 mW,66.30 mA
4.93 V,344.00 mW,67.60 mA
4.91 V,410.00 mW,116.20 mA
4.81 V,708.00 mW,147.60 mA
4.81 V,712.00 mW,147.70 mA
4.82 V,708.00 mW,136.80 mA
4.95 V,308.00 mW,61.90 mA
4.94 V,344.00 mW,69.60 mA
4.94 V,348.00 mW,67.70 mA
4.93 V,344.00 mW,69.20 mA
4.81 V,704.00 mW,146.60 mA
4.81 V,708.00 mW,147.10 mA
4.81 V,704.00 mW,147.50 mA
4.94 V,308.00 mW,62.50 mA
4.94 V,312.00 mW,62.90 mA
4.94 V,328.00 mW,66.70 mA
4.94 V,344.00 mW,67.20 mA
4.82 V,708.00 mW,147.10 mA
4.81 V,708.00 mW,147.90 mA
4.81 V,712.00 mW,146.70 mA
4.94 V,308.00 mW,62.10 mA
4.94 V,312.00 mW,62.90 mA
4.93 V,334.00 mW,66.90 mA
4.94 V,328.00 mW,69.50 mA
4.91 V,338.00 mW,83.40 mA
4.81 V,708.00 mW,147.60 mA
4.81 V,708.00 mW,146.70 mA
4.81 V,708.00 mW,146.80 mA
4.94 V,312.00 mW,62.70 mA
4.94 V,308.00 mW,69.50 mA
4.94 V,344.00 mW,69.80 mA
4.94 V,344.00 mW,70.90 mA
4.81 V,712.00 mW,147.60 mA
4.81 V,708.00 mW,147.70 mA
4.81 V,712.00 mW,147.50 mA
4.95 V,314.00 mW,62.60 mA
4.95 V,308.00 mW,62.60 mA
4.93 V,344.00 mW,69.20 mA
4.94 V,344.00 mW,69.20 mA
4.84 V,442.00 mW,134.90 mA
4.81 V,704.00 mW,147.00 mA
4.82 V,708.00 mW,146.90 mA
4.85 V,694.00 mW,115.10 mA
4.94 V,308.00 mW,62.80 mA
4.94 V,328.00 mW,68.10 mA
4.94 V,340.00 mW,66.90 mA
4.93 V,328.00 mW,70.10 mA
4.82 V,708.00 mW,147.10 mA
4.81 V,712.00 mW,146.70 mA
4.81 V,712.00 mW,147.70 mA
4.94 V,312.00 mW,63.50 mA
4.94 V,308.00 mW,62.70 mA
4.94 V,344.00 mW,69.60 mA
4.94 V,348.00 mW,69.90 mA
4.81 V,708.00 mW,146.70 mA
4.81 V,708.00 mW,146.80 mA
4.81 V,712.00 mW,147.00 mA
4.94 V,312.00 mW,63.50 mA
4.94 V,308.00 mW,62.20 mA
4.94 V,344.00 mW,69.10 mA
4.94 V,344.00 mW,70.80 mA
4.92 V,410.00 mW,83.50 mA
4.82 V,708.00 mW,147.40 mA
4.81 V,712.00 mW,146.90 mA
4.81 V,708.00 mW,147.60 mA
4.94 V,308.00 mW,62.50 mA
4.94 V,312.00 mW,66.60 mA
4.93 V,338.00 mW,68.70 mA
4.93 V,328.00 mW,66.40 mA
4.81 V,704.00 mW,147.10 mA
